age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,date_birth,salary,remote_work
33,no,,556.26,,25,3,nan,755,very_high,female,,medium,intermediate,manufacturing_director,medium,,,11681.39,1,no,13,"3,0",very_high,part_time,0,5,2,good,5,0,2,1990,53914.11,yes
35,no,,250.71,,28,4,nan,756,medium,male,31.34,medium,entry_level,sales_representative,high,married,2025.0,5265.0,0,,23,"4,0",low,part_time,2,6,5,good,5,4,2,1988,24300.0,yes
38,no,travel_frequently,556.26,,10,4,nan,757,high,female,69.53,high,intermediate,human_resources,high,,4492.84,11681.39,3,no,11,"3,0",high,part_time,0,10,2,good,6,1,2,1985,53914.11,yes
28,no,,503.18,,27,3,nan,758,medium,male,,low,intermediate,manufacturing_director,low,divorced,4064.17,10566.83,0,,21,"4,0",medium,part_time,1,6,5,low,5,0,0,1995,48770.0,yes
37,no,,556.26,,19,3,life_sciences,759,high,female,,high,intermediate,manufacturing_director,high,,,11681.39,3,no,17,"3,0",low,part_time,3,,2,low,4,0,2,1986,53914.11,no
24,no,,387.94,research_&_development,2,1,technical_degree,760,low,male,,high,entry_level,research_scientist,very_high,,3133.33,8146.67,1,,13,"3,0",high,full_time,0,6,2,good,6,1,3,1999,37600.0,no
36,no,,207.69,,7,3,nan,761,low,female,,high,entry_level,laboratory_technician,medium,,1677.5,4361.5,2,,11,"3,0",high,nan,0,,4,good,4,1,3,1987,,yes
38,no,travel_frequently,290.04,,2,3,nan,762,very_high,male,,medium,entry_level,laboratory_technician,medium,,2342.59,6090.75,1,,22,"4,0",medium,part_time,0,4,3,good,4,3,3,1985,28111.13,no
53,no,travel_rarely,1032.49,,24,4,medical,763,medium,female,,very_high,senior,healthcare_representative,very_high,married,8339.32,21682.23,3,no,15,"3,0",high,nan,0,11,2,good,4,1,2,1970,,no
37,no,travel_frequently,556.26,,1,4,nan,764,high,female,69.53,low,intermediate,sales_executive,very_high,,,11681.39,1,,14,"3,0",high,part_time,2,6,2,low,6,1,3,1986,53914.11,yes
24,no,,290.04,research_&_development,12,3,medical,765,high,female,,very_high,entry_level,research_scientist,high,married,2342.59,6090.75,1,no,16,"3,0",very_high,part_time,1,5,1,good,5,0,4,1999,28111.13,yes
29,no,travel_rarely,306.84,,9,4,medical,766,very_high,male,38.36,high,entry_level,laboratory_technician,high,,,6443.67,9,no,17,"3,0",high,full_time,1,,2,good,5,1,2,1994,29740.0,no
32,no,travel_rarely,1032.49,,19,3,nan,767,very_high,female,,low,senior,sales_executive,high,married,8339.32,21682.23,3,no,13,"3,0",high,part_time,1,,2,very_low,4,0,2,1991,100071.84,no
42,no,travel_rarely,285.38,,12,3,medical,768,medium,female,35.67,high,entry_level,laboratory_technician,medium,divorced,2305.0,5993.0,8,no,22,"4,0",medium,part_time,3,7,6,low,5,0,4,1981,27660.0,yes
41,no,,290.04,,9,4,life_sciences,769,high,female,,high,entry_level,laboratory_technician,low,divorced,2342.59,6090.75,1,no,20,"4,0",medium,part_time,2,5,2,good,5,0,4,1982,28111.13,yes
44,yes,,290.04,,1,2,nan,770,high,female,,high,entry_level,research_scientist,medium,,,6090.75,1,yes,12,"3,0",high,part_time,3,,2,low,5,2,3,1979,28111.13,yes
28,no,travel_rarely,290.04,,1,3,nan,771,high,female,36.25,high,entry_level,research_scientist,very_high,married,2342.59,6090.75,1,no,11,"3,0",high,part_time,1,5,6,excellent,5,0,3,1995,28111.13,yes
39,no,,1032.49,research_&_development,10,1,medical,772,high,female,,high,senior,research_director,high,single,8339.32,21682.23,7,,21,"4,0",high,part_time,0,,3,good,4,2,2,1984,100071.84,yes
40,no,,348.42,,2,2,life_sciences,773,high,male,,high,entry_level,laboratory_technician,low,married,,7316.83,4,,17,"3,0",very_high,full_time,1,7,5,low,4,0,2,1983,33770.0,yes
37,yes,travel_rarely,434.67,,10,4,nan,774,very_high,female,,high,intermediate,manufacturing_director,low,single,,9128.17,1,,15,"3,0",medium,part_time,0,10,4,,10,0,8,1986,42130.0,yes
40,no,,671.98,,1,3,nan,775,high,male,84.0,high,intermediate,healthcare_representative,very_high,,5427.5,14111.5,4,,17,"3,0",very_high,full_time,1,12,3,good,5,0,3,1983,65130.0,yes
26,no,travel_rarely,556.26,sales,10,3,nan,776,high,female,,high,intermediate,sales_executive,very_high,,4492.84,11681.39,1,no,13,"3,0",low,nan,0,,4,good,5,1,2,1997,,no
42,no,,290.04,,10,4,technical_degree,777,high,female,,high,entry_level,research_scientist,high,married,2342.59,6090.75,3,no,22,"4,0",medium,part_time,2,10,1,low,6,3,3,1981,28111.13,no
34,no,travel_rarely,1032.49,,4,3,nan,778,high,female,129.06,high,senior,sales_executive,very_high,married,8339.32,21682.23,2,yes,13,"3,0",very_high,part_time,3,9,3,good,5,1,0,1989,100071.84,yes
37,no,travel_rarely,442.0,,7,4,medical,779,very_high,female,55.25,high,intermediate,research_scientist,low,,,9282.0,5,,22,"4,0",high,part_time,1,16,2,good,5,0,4,1986,42840.0,yes
27,no,,229.67,,2,4,technical_degree,780,medium,female,28.71,high,entry_level,research_scientist,medium,,1855.0,4823.0,1,no,11,,high,part_time,1,6,3,low,5,1,2,1996,22260.0,no
35,no,travel_rarely,573.75,,18,4,nan,781,medium,female,,high,intermediate,sales_executive,low,,4634.17,12048.83,0,,16,"3,0",very_high,full_time,1,,2,very_low,5,0,4,1988,55610.0,yes
28,no,non_travel,221.21,,16,3,medical,782,high,female,,high,entry_level,research_scientist,high,single,1786.67,4645.33,1,no,14,"3,0",high,nan,0,5,3,low,5,1,4,1995,,yes
29,no,,554.36,,1,3,life_sciences,783,low,female,69.29,high,intermediate,healthcare_representative,low,married,4477.5,11641.5,0,no,12,"3,0",low,part_time,1,6,5,low,5,0,2,1994,53730.0,no
54,no,,298.9,research_&_development,9,2,nan,784,low,male,,high,intermediate,research_scientist,high,married,2414.17,6276.83,3,no,11,"3,0",high,part_time,2,9,6,low,4,2,3,1969,28970.0,no
24,no,travel_rarely,556.26,,41,2,life_sciences,785,nan,female,,medium,intermediate,healthcare_representative,high,single,4492.84,11681.39,1,no,12,"3,0",medium,nan,0,4,2,low,4,1,2,1999,,yes
38,no,travel_frequently,548.99,,6,4,nan,786,low,female,,medium,intermediate,manufacturing_director,high,married,4434.17,11528.83,2,no,11,"3,0",very_high,nan,1,10,1,good,8,7,7,1985,,no
42,no,,558.17,,18,4,nan,787,very_high,female,69.77,high,intermediate,research_scientist,low,,,11721.67,6,,17,"3,0",high,full_time,1,9,3,low,4,1,2,1981,54100.0,yes
41,no,,287.03,,1,3,life_sciences,788,very_high,female,,high,entry_level,research_scientist,very_high,,,6027.67,3,no,22,,low,part_time,1,,3,good,5,1,0,1982,27820.0,yes
25,no,travel_rarely,556.26,,8,2,nan,789,low,male,,high,intermediate,sales_executive,high,,4492.84,11681.39,0,yes,22,"4,0",medium,part_time,1,6,3,low,5,0,4,1998,53914.11,yes
44,no,,290.04,,1,3,medical,790,medium,female,,high,entry_level,research_scientist,very_high,single,,6090.75,6,yes,12,"3,0",high,part_time,0,6,2,good,4,1,2,1979,28111.13,yes
50,yes,,556.26,,1,4,nan,791,medium,female,,high,intermediate,sales_executive,high,,4492.84,11681.39,7,no,12,"3,0",very_high,part_time,2,12,3,,6,0,1,1973,53914.11,yes
36,no,,556.26,sales,11,4,marketing,792,medium,male,69.53,medium,intermediate,sales_executive,very_high,married,4492.84,11681.39,4,no,13,"3,0",low,part_time,1,8,2,low,6,0,0,1987,53914.11,no
45,no,,500.4,,20,3,nan,793,very_high,male,,high,intermediate,sales_executive,high,,,10508.33,8,no,15,"3,0",high,part_time,0,,3,good,5,0,1,1978,48500.0,yes
40,no,,206.45,,2,4,nan,794,high,male,,high,entry_level,research_scientist,high,married,1667.5,4335.5,2,,14,"3,0",medium,nan,3,20,2,good,5,0,2,1983,,yes
35,no,travel_rarely,290.04,,1,4,nan,795,high,male,,low,entry_level,research_scientist,very_high,married,2342.59,6090.75,1,no,12,"3,0",very_high,part_time,1,4,5,good,4,1,1,1988,28111.13,yes
29,no,travel_rarely,556.26,,13,2,other,796,very_high,female,,medium,intermediate,laboratory_technician,medium,,4492.84,11681.39,4,,13,"3,0",low,part_time,1,10,2,good,4,0,3,1994,53914.11,no
34,no,,454.38,,8,3,nan,797,medium,female,,very_high,intermediate,laboratory_technician,high,,3670.0,9542.0,2,no,12,"3,0",low,nan,0,,3,excellent,4,1,2,1989,,yes
27,no,travel_rarely,290.04,,2,1,nan,798,low,female,36.25,high,entry_level,laboratory_technician,medium,married,2342.59,6090.75,9,no,12,"3,0",very_high,part_time,1,6,3,good,2,2,2,1996,28111.13,no
31,no,,290.04,research_&_development,26,1,nan,799,low,female,,high,entry_level,research_scientist,high,divorced,,6090.75,1,,17,"3,0",very_high,part_time,1,5,1,low,5,4,3,1992,28111.13,yes
34,no,travel_rarely,290.04,,38,2,nan,800,medium,female,,high,entry_level,laboratory_technician,very_high,divorced,2342.59,6090.75,0,,11,"3,0",high,nan,1,3,2,good,2,1,2,1989,,yes
28,yes,travel_rarely,290.04,research_&_development,24,3,life_sciences,801,high,female,36.25,medium,entry_level,laboratory_technician,high,single,,6090.75,5,yes,14,"3,0",medium,part_time,0,6,4,good,4,0,3,1995,28111.13,yes
32,no,travel_rarely,290.04,,5,2,nan,802,low,female,,very_high,entry_level,research_scientist,medium,divorced,2342.59,6090.75,0,yes,12,"3,0",very_high,part_time,2,7,5,low,6,0,5,1991,28111.13,yes
38,no,,406.92,research_&_development,2,3,life_sciences,803,very_high,female,50.87,high,entry_level,research_scientist,very_high,single,3286.67,8545.33,5,yes,11,"3,0",high,full_time,0,6,3,good,3,1,2,1985,39440.0,yes
24,no,,556.26,,11,2,nan,804,low,male,69.53,very_high,intermediate,manufacturing_director,high,,,11681.39,0,no,18,"3,0",very_high,part_time,1,5,5,low,4,1,3,1999,53914.11,yes
34,yes,,305.4,,6,1,nan,805,medium,female,38.17,high,entry_level,research_scientist,low,single,,6413.33,2,no,11,"3,0",high,full_time,0,,2,good,4,1,3,1989,29600.0,yes
32,yes,travel_frequently,290.04,research_&_development,16,1,nan,806,medium,male,,low,entry_level,research_scientist,low,,,6090.75,1,,22,,medium,part_time,0,,5,good,10,6,7,1991,28111.13,no
46,no,travel_rarely,1954.85,,2,4,marketing,807,medium,male,244.36,high,executive,manager,low,single,15789.17,41051.83,3,,12,"3,0",very_high,full_time,0,22,2,low,2,2,1,1977,189470.0,no
44,no,,667.02,,10,4,other,808,very_high,female,83.38,high,intermediate,healthcare_representative,very_high,married,,14007.5,2,,13,"3,0",very_high,full_time,0,,5,excellent,4,1,3,1979,64650.0,no
50,yes,travel_rarely,276.82,,3,2,nan,809,low,female,,medium,entry_level,sales_representative,high,married,,5813.17,1,,14,"3,0",high,part_time,0,3,2,good,3,0,2,1973,26830.0,yes
35,no,,207.79,,2,3,marketing,810,very_high,male,25.97,high,entry_level,sales_representative,very_high,married,1678.33,4363.67,1,no,13,"3,0",low,part_time,0,2,3,good,2,2,2,1988,20140.0,yes
28,yes,,355.02,,5,4,nan,811,high,female,,high,entry_level,laboratory_technician,high,single,,7455.5,1,yes,13,,high,nan,0,2,3,low,2,2,2,1995,34410.0,yes
26,no,,556.26,,22,3,nan,812,nan,male,,medium,intermediate,sales_executive,very_high,marreid,4492.84,11681.39,7,yes,19,"3,0",high,part_time,1,5,2,low,2,0,0,1997,53914.11,no
35,no,travel_rarely,290.04,,31,4,nan,813,high,male,36.25,high,entry_level,laboratory_technician,low,,,6090.75,3,yes,15,,high,part_time,1,4,3,good,2,2,2,1988,28111.13,no
35,no,,290.04,,31,3,medical,814,medium,female,,high,entry_level,research_scientist,low,married,2342.59,6090.75,4,no,13,"3,0",very_high,nan,1,5,2,low,3,1,2,1988,,yes
37,no,travel_rarely,1409.78,,20,4,medical,815,low,female,,high,senior,research_director,high,,11386.67,29605.33,4,,13,,low,full_time,0,,3,excellent,5,0,2,1986,136640.0,yes
46,no,travel_rarely,518.04,,38,2,medical,816,nan,female,,high,intermediate,human_resources,medium,divorced,4184.17,10878.83,8,yes,22,"4,0",very_high,part_time,1,,2,good,4,0,2,1977,50210.0,yes
34,no,travel_rarely,556.26,,1,2,medical,817,low,female,69.53,high,intermediate,manufacturing_director,medium,married,4492.84,11681.39,1,no,15,"3,0",high,part_time,0,,2,good,5,1,3,1989,53914.11,yes
51,no,travel_rarely,290.04,,9,4,nan,818,very_high,female,,high,entry_level,laboratory_technician,very_high,,,6090.75,3,,23,"4,0",medium,part_time,2,10,4,good,4,0,3,1972,28111.13,yes
24,no,travel_rarely,556.26,sales,3,2,other,819,low,male,,high,intermediate,sales_executive,high,married,4492.84,11681.39,0,no,21,"4,0",low,part_time,1,4,2,low,3,0,2,1999,53914.11,yes
44,no,,556.26,,23,3,nan,820,medium,female,69.53,high,intermediate,laboratory_technician,medium,married,4492.84,11681.39,4,,12,"3,0",high,part_time,1,,3,excellent,3,1,2,1979,53914.11,yes
37,yes,travel_rarely,290.04,,6,4,human_resources,821,high,female,,high,entry_level,human_resources,low,divorced,2342.59,6090.75,4,,22,"4,0",very_high,nan,0,,3,good,3,0,2,1986,28111.13,yes
59,no,non_travel,1944.22,,2,4,human_resources,822,high,male,243.03,medium,executive,manager,very_high,,,40828.67,9,no,21,"4,0",very_high,full_time,1,,3,good,3,2,2,1964,188440.0,no
25,no,,290.04,,7,1,nan,823,very_high,female,,medium,entry_level,research_scientist,very_high,married,2342.59,6090.75,1,no,11,"3,0",high,part_time,2,,2,,2,2,1,1998,28111.13,yes
43,no,,488.94,,26,3,medical,824,medium,male,,very_high,entry_level,research_scientist,high,single,3949.17,10267.83,4,,12,"3,0",very_high,nan,0,,2,good,3,1,2,1980,,yes
50,no,travel_frequently,1032.49,,12,3,nan,825,high,male,,high,senior,sales_executive,very_high,single,8339.32,21682.23,4,no,11,"3,0",very_high,part_time,0,16,3,,2,2,1,1973,100071.84,no
31,yes,travel_rarely,556.26,,20,3,nan,826,medium,male,,low,intermediate,sales_executive,high,,4492.84,11681.39,3,yes,11,"3,0",high,part_time,1,4,2,good,2,2,2,1992,53914.11,yes
36,no,,556.26,research_&_development,6,2,medical,827,medium,female,,high,intermediate,manufacturing_director,medium,divorced,,11681.39,6,no,20,"4,0",very_high,part_time,2,7,0,good,3,0,1,1987,53914.11,no
51,yes,travel_frequently,1098.81,,16,4,nan,828,low,female,,low,senior,manufacturing_director,very_high,,,23075.0,2,,15,"3,0",very_high,full_time,0,18,2,good,4,0,3,1972,106500.0,no
25,no,,556.26,sales,28,3,life_sciences,829,low,female,,medium,intermediate,sales_executive,high,,,11681.39,2,,18,"3,0",very_high,part_time,0,,3,good,2,2,2,1998,53914.11,no
38,no,travel_rarely,445.4,,3,5,technical_degree,830,very_high,male,,high,intermediate,research_scientist,high,,3597.5,9353.5,3,yes,20,"4,0",medium,nan,0,19,2,,3,2,2,1985,43170.0,no
30,no,travel_rarely,290.04,research_&_development,5,3,technical_degree,831,very_high,male,,high,entry_level,research_scientist,low,divorced,2342.59,6090.75,5,no,14,,very_high,part_time,1,8,3,good,3,2,2,1993,28111.13,yes
22,no,,290.04,,36,1,medical,832,nan,female,,high,entry_level,research_scientist,very_high,marreid,2342.59,6090.75,1,no,24,"4,0",low,nan,2,2,6,good,2,2,2,2001,,yes
27,no,non_travel,208.83,research_&_development,9,3,medical,833,very_high,female,26.1,high,entry_level,research_scientist,medium,,1686.67,4385.33,6,,18,"3,0",very_high,part_time,1,,1,very_low,2,2,2,1996,20240.0,yes
28,no,,290.04,research_&_development,21,3,medical,834,high,female,,high,entry_level,research_scientist,very_high,married,2342.59,6090.75,1,no,11,"3,0",high,part_time,1,5,2,very_low,5,0,2,1995,28111.13,yes
27,no,,315.51,,17,3,nan,835,high,female,,high,entry_level,research_scientist,medium,,,6625.67,0,,16,"3,0",very_high,full_time,1,6,3,low,5,1,1,1996,30580.0,yes
56,no,travel_rarely,290.04,,8,3,life_sciences,836,high,male,36.25,high,entry_level,research_scientist,low,divorced,2342.59,6090.75,4,,18,"3,0",high,part_time,1,,3,,2,2,2,1967,28111.13,yes
38,no,travel_rarely,290.04,,9,2,nan,837,high,male,,high,entry_level,laboratory_technician,very_high,single,,6090.75,1,,12,,high,part_time,0,,3,,2,2,1,1985,28111.13,yes
31,no,travel_rarely,405.37,,12,1,medical,838,high,male,,high,entry_level,research_scientist,very_high,,3274.17,8512.83,8,,23,"4,0",high,full_time,1,7,0,good,4,0,2,1992,39290.0,yes
34,no,travel_rarely,290.04,,27,2,medical,839,very_high,male,,high,entry_level,research_scientist,medium,,2342.59,6090.75,2,no,15,"3,0",very_high,nan,0,9,3,good,3,1,2,1989,,yes
50,no,,290.04,research_&_development,1,3,nan,840,high,female,,medium,entry_level,laboratory_technician,high,,2342.59,6090.75,2,,15,"3,0",very_high,part_time,1,,2,low,3,0,2,1973,28111.13,no
53,no,,556.26,,13,2,nan,841,very_high,male,,very_high,intermediate,manufacturing_director,low,divorced,4492.84,11681.39,1,no,11,"3,0",high,nan,2,5,3,good,4,1,3,1970,,no
35,no,travel_frequently,456.55,,24,3,medical,842,medium,male,,high,intermediate,laboratory_technician,medium,single,3687.5,9587.5,5,,11,"3,0",very_high,part_time,0,,5,good,6,1,2,1988,44250.0,yes
27,no,travel_frequently,556.26,,1,1,nan,843,high,female,,medium,intermediate,manufacturing_director,low,married,4492.84,11681.39,5,,19,"3,0",high,part_time,1,,1,good,2,2,0,1996,53914.11,no
40,no,,556.26,,38,2,nan,844,high,female,69.53,high,intermediate,laboratory_technician,very_high,married,4492.84,11681.39,8,,15,"3,0",high,part_time,1,,2,excellent,7,3,7,1983,53914.11,yes
22,no,,240.19,,22,3,life_sciences,845,nan,female,,very_high,entry_level,research_scientist,medium,,1940.0,5044.0,1,,16,"3,0",low,part_time,1,4,2,low,4,2,2,2001,23280.0,no
40,no,,556.26,,10,5,life_sciences,846,very_high,female,69.53,medium,intermediate,healthcare_representative,very_high,,4492.84,11681.39,9,no,14,"3,0",very_high,part_time,1,5,5,very_low,3,0,2,1983,53914.11,yes
46,no,,1032.49,,1,4,nan,847,very_high,female,,high,senior,healthcare_representative,low,,8339.32,21682.23,7,no,16,"3,0",high,nan,1,17,3,good,4,0,3,1977,,yes
30,yes,,274.13,,3,3,technical_degree,848,very_high,male,,high,entry_level,research_scientist,low,,2214.17,5756.83,5,yes,11,"3,0",high,nan,0,8,5,good,5,0,4,1993,,yes
29,yes,,290.04,,1,3,nan,849,high,female,,high,entry_level,research_scientist,high,single,2342.59,6090.75,0,,14,"3,0",very_high,part_time,0,,1,low,6,1,5,1994,28111.13,no
54,no,,612.86,,3,3,nan,850,very_high,male,76.61,high,intermediate,sales_executive,low,married,,12870.0,2,,14,"3,0",very_high,full_time,1,16,4,good,6,0,5,1969,59400.0,no
33,no,travel_rarely,270.52,research_&_development,4,4,nan,851,high,male,33.82,medium,entry_level,research_scientist,medium,married,2185.0,5681.0,6,,21,"4,0",very_high,part_time,0,,3,good,3,1,1,1990,26220.0,yes
52,no,travel_rarely,331.4,,2,3,nan,852,high,male,41.42,medium,entry_level,laboratory_technician,very_high,single,2676.67,6959.33,7,,15,"3,0",medium,full_time,0,,3,low,2,2,2,1971,32120.0,yes
59,no,travel_rarely,290.04,human_resources,6,2,medical,853,medium,female,,high,entry_level,human_resources,high,married,2342.59,6090.75,8,,17,"3,0",very_high,part_time,0,,2,low,2,2,2,1964,28111.13,no
32,yes,,290.04,,1,3,nan,854,very_high,female,,medium,entry_level,laboratory_technician,high,single,2342.59,6090.75,0,,14,"3,0",very_high,nan,0,4,2,very_low,3,1,2,1991,,yes
39,no,,290.04,,24,4,medical,855,nan,male,36.25,high,entry_level,laboratory_technician,high,divorced,2342.59,6090.75,7,no,14,"3,0",high,part_time,3,7,1,good,3,1,2,1984,28111.13,no
32,no,non_travel,556.26,,26,4,marketing,856,high,female,69.53,high,intermediate,sales_executive,very_high,,4492.84,11681.39,0,no,18,"3,0",low,part_time,0,4,2,good,3,2,2,1991,53914.11,yes
31,no,,1032.49,,3,4,medical,857,medium,female,,high,senior,research_director,high,divorced,8339.32,21682.23,9,no,12,"3,0",low,part_time,1,,3,good,2,2,2,1992,100071.84,yes
33,no,travel_rarely,300.34,,5,4,life_sciences,858,high,male,,medium,entry_level,research_scientist,very_high,married,2425.83,6307.17,1,,13,"3,0",high,full_time,1,2,2,low,2,0,2,1990,29110.0,yes
45,no,,556.26,,23,4,life_sciences,859,low,female,,very_high,intermediate,manufacturing_director,high,,4492.84,11681.39,4,,17,"3,0",very_high,nan,1,9,1,good,3,0,2,1978,,yes
42,no,,556.26,research_&_development,17,2,nan,860,very_high,male,69.53,very_high,intermediate,research_scientist,low,single,,11681.39,3,yes,13,"3,0",high,part_time,0,,1,good,3,0,2,1981,53914.11,yes
29,no,,715.1,,19,2,marketing,861,very_high,female,89.39,high,intermediate,sales_executive,very_high,divorced,,15017.17,2,no,14,"3,0",very_high,full_time,1,,2,good,3,0,2,1994,69310.0,no
25,no,travel_rarely,556.26,,1,3,nan,862,low,male,,high,intermediate,manufacturing_director,high,married,4492.84,11681.39,0,no,12,"3,0",very_high,nan,2,5,3,good,4,1,2,1998,53914.11,no
32,no,,224.51,,2,1,nan,863,very_high,female,,medium,intermediate,laboratory_technician,low,,1813.33,4714.67,4,no,13,"3,0",very_high,part_time,0,9,5,good,6,0,4,1991,21760.0,no
28,no,travel_rarely,290.04,,9,3,nan,864,very_high,female,,high,entry_level,research_scientist,very_high,married,,6090.75,1,no,23,"4,0",very_high,nan,1,,3,,5,0,4,1995,28111.13,yes
21,no,travel_rarely,333.25,,3,2,nan,865,very_high,female,,medium,entry_level,research_scientist,high,single,,6998.33,1,no,17,"3,0",low,full_time,0,,4,excellent,3,1,0,2002,32300.0,no
37,no,non_travel,1032.49,,1,4,medical,866,low,male,129.06,high,senior,research_director,very_high,divorced,8339.32,21682.23,2,yes,18,"3,0",low,part_time,2,,2,good,5,0,2,1986,100071.84,no
38,no,travel_rarely,556.26,,23,4,life_sciences,867,very_high,female,,high,intermediate,healthcare_representative,very_high,,4492.84,11681.39,9,,14,"3,0",medium,part_time,1,,2,good,2,1,2,1985,53914.11,no
26,yes,travel_rarely,290.04,,16,4,medical,868,low,female,,high,entry_level,laboratory_technician,medium,divorced,2342.59,6090.75,2,yes,13,"3,0",very_high,part_time,1,,2,good,3,0,2,1997,28111.13,no
49,no,,1925.75,,10,4,life_sciences,869,high,male,240.72,high,executive,research_director,low,single,15554.17,40440.83,9,yes,11,"3,0",very_high,full_time,0,,4,good,3,1,2,1974,186650.0,yes
31,no,travel_frequently,287.75,sales,5,3,nan,870,very_high,male,,high,entry_level,sales_representative,medium,divorced,,6042.83,1,,11,"3,0",high,part_time,1,2,5,low,2,2,2,1992,27890.0,yes
37,no,travel_frequently,290.04,,9,3,medical,871,medium,female,,high,entry_level,research_scientist,very_high,married,2342.59,6090.75,1,,12,"3,0",high,part_time,3,,3,low,4,1,2,1986,28111.13,no
31,no,travel_rarely,290.04,research_&_development,11,4,nan,872,nan,female,,high,entry_level,research_scientist,very_high,marreid,2342.59,6090.75,0,,12,"3,0",high,part_time,1,,4,good,5,0,3,1992,28111.13,yes
31,no,travel_rarely,661.35,,2,3,human_resources,873,low,female,82.67,medium,intermediate,human_resources,low,,5341.67,13888.33,3,no,12,"3,0",very_high,full_time,0,,1,good,2,1,0,1992,64100.0,no
31,no,,290.04,research_&_development,2,4,nan,874,high,female,36.25,high,entry_level,research_scientist,very_high,,2342.59,6090.75,0,,18,"3,0",medium,part_time,1,3,2,very_low,2,2,2,1992,28111.13,yes
52,yes,,509.79,,17,4,medical,875,nan,female,,medium,intermediate,research_scientist,medium,,4117.5,10705.5,2,no,15,,low,part_time,0,11,3,low,8,7,7,1971,49410.0,no
28,yes,,290.04,,2,4,medical,876,low,female,,low,entry_level,research_scientist,very_high,married,2342.59,6090.75,5,yes,13,"3,0",very_high,nan,0,,4,low,3,2,2,1995,,yes
47,no,travel_rarely,1973.98,,5,5,nan,877,very_high,female,246.75,high,executive,research_director,high,married,,41453.67,4,,11,"3,0",medium,full_time,1,21,2,good,3,1,1,1976,191324.62,no
29,no,,410.94,,9,5,other,878,medium,female,,medium,entry_level,laboratory_technician,very_high,,3319.17,8629.83,0,no,17,"3,0",high,full_time,0,4,2,,3,2,2,1994,39830.0,yes
37,no,,654.85,,5,2,medical,879,very_high,female,,high,intermediate,manufacturing_director,very_high,,5289.17,13751.83,7,no,16,"3,0",high,nan,2,8,2,low,6,0,4,1986,,yes
23,no,,299.62,,26,1,nan,880,high,female,,high,entry_level,research_scientist,very_high,,2420.0,6292.0,1,,12,"3,0",high,full_time,2,,2,low,4,0,2,2000,29040.0,no
42,no,travel_rarely,278.16,human_resources,2,1,nan,881,high,female,,high,entry_level,human_resources,high,divorced,2246.67,5841.33,0,yes,11,"3,0",high,nan,1,4,5,good,3,1,0,1981,,no
30,no,,556.26,sales,25,2,nan,882,very_high,male,,high,intermediate,sales_executive,high,,4492.84,11681.39,7,,12,"3,0",medium,nan,1,4,2,excellent,2,2,2,1993,,no
21,yes,,224.3,,31,1,nan,883,low,male,28.04,medium,entry_level,sales_representative,medium,single,,4710.33,1,,11,"3,0",high,part_time,0,3,3,good,3,1,2,2002,21740.0,yes
57,no,travel_rarely,696.94,,1,4,medical,884,very_high,female,,high,intermediate,healthcare_representative,high,,5629.17,14635.83,2,no,11,"3,0",high,nan,0,,2,good,3,1,2,1966,,yes
21,no,,290.04,,9,2,nan,885,low,female,,high,entry_level,sales_representative,very_high,single,2342.59,6090.75,1,,24,"4,0",high,nan,0,3,3,low,3,2,2,2002,28111.13,yes
31,no,travel_rarely,274.13,,9,4,life_sciences,886,high,female,34.27,medium,entry_level,research_scientist,medium,,2214.17,5756.83,0,,16,"3,0",very_high,part_time,0,3,5,good,2,2,2,1992,26570.0,yes
29,no,,290.04,research_&_development,17,3,nan,887,nan,female,36.25,high,entry_level,research_scientist,very_high,,2342.59,6090.75,9,no,16,,very_high,part_time,0,6,4,good,3,1,2,1994,28111.13,no
27,no,travel_rarely,290.04,,1,2,nan,888,very_high,female,,high,entry_level,laboratory_technician,medium,,2342.59,6090.75,1,no,11,"3,0",medium,part_time,1,5,2,good,5,0,4,1996,28111.13,yes
49,no,travel_rarely,1131.31,,7,3,other,889,medium,female,141.41,medium,senior,healthcare_representative,high,single,9137.5,23757.5,8,no,24,"4,0",high,full_time,0,,2,good,5,0,0,1974,109650.0,yes
36,no,travel_rarely,262.37,,2,3,nan,890,very_high,male,32.8,high,entry_level,research_scientist,high,married,,5509.83,4,no,13,"3,0",medium,part_time,1,,3,good,2,2,2,1987,25430.0,yes
34,yes,non_travel,547.24,,19,3,marketing,891,low,female,68.4,very_high,intermediate,sales_executive,very_high,,4420.0,11492.0,8,yes,13,"3,0",medium,part_time,0,,3,low,5,0,4,1989,53040.0,yes
24,no,,556.26,,10,4,marketing,892,very_high,male,,high,intermediate,sales_executive,high,divorced,4492.84,11681.39,1,yes,12,"3,0",very_high,part_time,1,,2,excellent,5,0,3,1999,53914.11,yes
42,no,,290.04,,1,4,nan,893,medium,male,,high,entry_level,laboratory_technician,low,,,6090.75,3,no,16,"3,0",medium,part_time,1,8,5,good,5,1,2,1981,28111.13,yes
54,no,,2002.21,,5,2,medical,894,low,female,,high,executive,research_director,low,married,16171.67,42046.33,4,,11,"3,0",high,full_time,1,24,4,low,4,1,2,1969,194060.0,no
